"","Coef_ridge","s0","tcross"
"ZBTB33",NA,0.00323745306134045,1
"ZNF263",NA,0.0277963579059179,1
"TRIM28",NA,0.00634439803640343,1
"CEBPB",NA,-0.00303395780016914,1
"BATF",NA,-0.0208951300375816,1
"CTCF",NA,-0.0084812987342135,1
"ZNF274",NA,-0.0297599267751927,1
"PPARGC1A",NA,-0.0239451614207358,1
"CHD2",NA,-0.0188648145324819,1
"POLR3A",NA,-0.0181033113383389,1
"CTCFL",NA,-0.0153561620370571,1
"SIX5",NA,0.0149609085266589,1
"CTBP2",NA,-0.000398181923039567,1
"E2F1",NA,-0.00116531831768793,1
"E2F4",NA,0.0239386761282949,1
"E2F6",NA,-0.00677996703168542,1
"EBF1",NA,-0.00519587492394964,1
"EGR1",NA,-0.005335251044719,1
"ELF1",NA,0.00802505260760611,1
"ELK4",NA,-0.0150680874999761,1
"EP300",NA,-0.0081580888118736,1
"ESR1",NA,-0.000409929661739888,1
"ESRRA",NA,0.0236928608795775,1
"ETS1",NA,-0.0163163757543809,1
"HEY1",NA,0.00379314589415584,1
"SUZ12",NA,-0.0038971294992054,1
"FOS",NA,-0.020318011106936,1
"FOSL2",NA,0.0177188981333283,1
"MAFF",NA,-0.0336194775658373,1
"GABPA",NA,0.00202486190668029,1
"SIN3A",NA,-0.00386765599484894,1
"ZZZ3",NA,-0.0233878847551981,1
"GATA1",NA,-0.0293044096584259,1
"GATA2",NA,0.00447607155199316,1
"GATA3",NA,-0.0103097121538432,1
"KAT2A",NA,0.00545667196039227,1
"NR3C1",NA,0.00213941483970768,1
"GTF2B",NA,-0.0188540339002824,1
"GTF2F1",NA,-0.00680179638459478,1
"BRF1",NA,-0.0125543144843781,1
"HDAC2",NA,0.0235199047520022,1
"FOXA1",NA,-0.00511707231512062,1
"FOXA2",NA,4.42512954516908e-05,1
"HNF4A",NA,-0.000515352182109356,1
"HNF4G",NA,-0.0068105098038015,1
"HSF1",NA,0.00923738699636256,1
"IRF1",NA,-0.0177654960337046,1
"IRF3",NA,0.0181186138498845,1
"IRF4",NA,-0.0129026686930525,1
"JUN",NA,-0.0228647891031242,1
"JUND",NA,-0.0176106812504325,1
"MAX",NA,-0.0393337756317671,1
"MEF2A",NA,-0.01300522615058,1
"MEF2C",NA,0.0125327407076744,1
"MXI1",NA,0.00471236012236806,1
"MYC",NA,-0.0213050459905861,1
"ATF3",NA,-0.00515602649005967,1
"NFE2",NA,-0.0568824009029272,1
"NFKB1",NA,0.00390324325502341,1
"NFYA",NA,-0.0263770651938309,1
"NFYB",NA,0.0105806495500926,1
"NRF1",NA,0.00121775825949083,1
"PAX5",NA,0.00933135329599192,1
"PBX3",NA,-0.0308501577731461,1
"ZBTB7A",NA,0.0032411863089748,1
"SIRT6",NA,0.0174574505023889,1
"BCL11A",NA,0.00611358674315787,1
"POU2F2",NA,0.008812886637666,1
"POU5F1",NA,-0.0243730090613852,1
"BRF2",NA,0.00737534629006375,1
"BDP1",NA,0.0116302058013781,1
"WRNIP1",NA,-0.000849650751277273,1
"RAD21",NA,0.00308187180550923,1
"REST",NA,-0.0109948735762428,1
"RFX5",NA,-0.000990652428509908,1
"BCL3",NA,-0.0181907256050961,1
"RXRA",NA,0.0136832363787752,1
"PRDM1",NA,-0.00725292558613129,1
"SMARCA4",NA,-0.0125806480699046,1
"SMARCB1",NA,-0.00754445727383181,1
"SMARCC1",NA,-0.0226394030616188,1
